player,team,opponent,odds_930am,last_5_shots,avg_toi,resistance_grade,script_tag,APEX_SCORE,SIGNAL
Clayton Keller,UTA,VAN,-450,3|4|4|5|4,19.1,MODERATE,NEUTRAL,1.0,游릭 GREEN (ELITE)
Alex Ovechkin,WSH,ANA,-620,4|2|2|6|3,17.8,LOW,HISTORY_CHASE,1.0,游릭 GREEN (ELITE)
Alex Tuch,BUF,WPG,-196,2|3|4|5|2,19.2,LOW,CHASE_MODE,0.96,游릭 GREEN (ELITE)
Dylan Guenther,UTA,VAN,-500,5|2|3|6|3,17.5,MODERATE,NEUTRAL,0.92,游릭 GREEN (ELITE)
Jack Eichel,VGK,NJD,-590,2|2|7|3|5,21.2,MODERATE,LOW_PACE,0.88,游릭 GREEN (ELITE)
Jason Zucker,BUF,WPG,-152,3|2|0|4|4,15.5,LOW,CHASE_MODE,0.84,游릭 GREEN (ELITE)
Tage Thompson,BUF,WPG,-620,2|4|3|2|2,18.8,LOW,CHASE_MODE,0.8,游릭 GREEN (ELITE)
Dawson Mercer,NJD,VGK,-154,3|5|3|2|1,16.5,MODERATE,LOW_PACE,0.68,游리 YELLOW (PLAYABLE)
Kyle Connor,WPG,BUF,-620,4|2|3|1|2,20.5,MODERATE,NEUTRAL,0.56,游댮 RED (AVOID)
Mikhail Sergachev,UTA,VAN,-140,1|5|1|2|4,23.5,MODERATE,SUPPRESSED,0.45,游댮 RED (AVOID)
Wyatt Johnston,DAL,SJS,-360,3|2|4|2|4,18.9,HIGH,BLOWOUT_RISK,0.42,游댮 RED (AVOID)
Jason Robertson,DAL,SJS,-1300,1|2|5|2|4,18.3,HIGH,BLOWOUT_RISK,0.34,游댮 RED (AVOID)
